"作品Title/曲名","Video /BGA      (optional)","sequenceId","bg","提交時間","ID","Created Date","Updated Date","Owner","作品Title/曲名的複本","isDQ"
"Nostalogic","wix:video://v1/82b375_466b06e2b0b74835aa39e256880212d3/pv.mp4#posterUri=82b375_466b06e2b0b74835aa39e256880212d3f001.jpg&posterWidth=1280&posterHeight=720","183","wix:image://v1/82b375_d2f6d07d17fc46d1a8ee398d154574bd~mv2.png/bg.png#originWidth=740&originHeight=740","2026-04-13T12:56:20Z","work-row-0067","2026-04-13T12:56:22Z","2026-04-25T04:31:14Z","user-0133","","true"
"「化けの皮」","wix:video://v1/68e345_3d4266e7297b4c8895faec28ec0dcf1f/bg.mp4#posterUri=68e345_3d4266e7297b4c8895faec28ec0dcf1ff001.jpg&posterWidth=854&posterHeight=480","69","wix:image://v1/68e345_4075f9bdbe984fa98012673ff83bb4bb~mv2.png/bg.png#originWidth=1938&originHeight=1939","2026-04-09T16:49:53Z","work-row-0068","2026-04-09T16:49:54Z","2026-05-09T18:15:09Z","user-0152","","true"
"悪ノ召使","wix:video://v1/7ee0a7_c1de0ef9455644068aeeda30b9582689/bg.mp4#posterUri=7ee0a7_c1de0ef9455644068aeeda30b9582689f001.jpg&posterWidth=720&posterHeight=480","228","wix:image://v1/7ee0a7_c44bc910d1694e9a954188668ad153b2~mv2.jpg/bg.jpg#originWidth=300&originHeight=300","2026-04-21T22:06:51Z","work-row-0069","2026-04-21T22:06:52Z","2026-05-03T07:30:49Z","user-0115","","true"
"Freak Out Hr.","","282","wix:image://v1/f8b705_207ddc0f9f3a4be2b128fbe668f5f8bd~mv2.jpg/bg.jpg#originWidth=1500&originHeight=1500","2026-05-02T19:33:25Z","work-row-0070","2026-05-02T19:33:26Z","2026-05-09T16:56:49Z","user-0213","","true"
"武装乙女","wix:video://v1/27c661_d172434721d24424a287034f826cb755/bg.mp4#posterUri=27c661_d172434721d24424a287034f826cb755f001.jpg&posterWidth=752&posterHeight=1080","238","wix:image://v1/27c661_b8b9ff16b55a4283a677b9fffa0887bc~mv2.jpg/bg.jpg#originWidth=960&originHeight=960","2026-04-23T15:18:19Z","work-row-0071","2026-04-23T15:18:21Z","2026-05-09T16:55:08Z","user-0079","","true"
"ヒビカセ","","101","wix:image://v1/673828_9c5b40f6820b4384a5a8939909f43ee1~mv2.jpg/bg.jpg#originWidth=640&originHeight=640","2026-04-10T08:14:15Z","work-row-0072","2026-04-10T08:14:17Z","2026-05-09T18:15:59Z","user-0098","","true"
"フィクションです。","wix:video://v1/49394f_17605363dfb548bf9c28a9038e378c09/bg.mp4#posterUri=49394f_17605363dfb548bf9c28a9038e378c09f001.jpg&posterWidth=1280&posterHeight=720","277","wix:image://v1/49394f_1f24b629d969454ab4f39ede04f54fcb~mv2.jpg/bg.jpg#originWidth=1080&originHeight=1080","2026-05-02T17:16:14Z","work-row-0073","2026-05-02T17:16:15Z","2026-05-02T17:17:13Z","user-0129","",""
"ユーチューバー","wix:video://v1/305798_6c4b6e9e79554f6e9335d723d7399bf4/pv.mp4#posterUri=305798_6c4b6e9e79554f6e9335d723d7399bf4f001.jpg&posterWidth=480&posterHeight=480","85","wix:image://v1/305798_9bd50c1bd000436fa0f17d659bb27687~mv2.jpg/bg.jpg#originWidth=1600&originHeight=1600","2026-04-09T23:31:45Z","work-row-0074","2026-04-09T23:31:46Z","2026-05-09T16:52:31Z","user-0166","","true"
"ブレインロット","wix:video://v1/d183ab_cca8fe8a2f7541ecb18f034869ea2a7d/pv.mp4#posterUri=d183ab_cca8fe8a2f7541ecb18f034869ea2a7df001.jpg&posterWidth=960&posterHeight=960","84","wix:image://v1/d183ab_4fa1c56fabd64ab994a1a79aa980421a~mv2.jpg/bg.jpg#originWidth=500&originHeight=500","2026-04-09T23:11:41Z","work-row-0075","2026-04-09T23:11:42Z","2026-04-25T04:28:10Z","user-0084","","true"
"シェイク!!!","wix:video://v1/8a333c_63e658d24fdb49b9ace3f94a28c356fe/bg.mp4#posterUri=8a333c_63e658d24fdb49b9ace3f94a28c356fef001.jpg&posterWidth=852&posterHeight=480","280","wix:image://v1/8a333c_be3b1f8130b34c18858026ad2f89482c~mv2.jpg/bg.jpg#originWidth=960&originHeight=960","2026-05-02T18:09:56Z","work-row-0076","2026-05-02T18:09:57Z","2026-05-09T18:21:18Z","user-0181","","true"
